10772,1707185580,297.1,295.55,297.44,295.69
10775,1707234480,298.54,296.48,298.88,296.52
10841,1707319440,228.94,209.0,231.25,208.32
10871,1707364680,179.69,160.36,181.34,160.3
10874,1707409380,157.57,142.83,159.85,141.19
10880,1707420120,139.94,126.15,141.89,126.44
10893,1707444000,126.73,113.93,127.24,113.98
10894,1707530400,128.47,114.96,128.7,115.03
10922,1707578220,128.19,114.39,128.6,114.38
10924,1707591600,128.67,114.5,128.8,114.5
10925,1707616800,128.21,113.64,128.44,114.24
10926,1707663600,126.54,112.12,126.83,112.12
11015,1707919200,117.16,99.01,117.42,99.01
11041,1707958800,120.98,99.75,121.07,99.73
11042,1708005600,120.79,98.43,121.12,98.3
11112,1708045200,126.83,99.98,127.02,99.94
11123,1708092000,129.11,100.66,129.18,100.58
11141,1708131600,128.73,99.94,128.92,99.84
11142,1708174800,129.15,98.19,128.4,98.14
11145,1708192740,128.08,97.9,128.3,97.82
11171,1708218000,127.66,97.16,127.94,97.06
11172,1708264800,126.94,96.14,127.28,96.0
11173,1708279200,126.85,95.47,127.04,95.44
11174,1708304400,125.65,93.03,125.78,93.03
11182,1708375080,124.76,86.55,125.03,86.58
11185,1708393800,125.37,86.52,125.58,86.63
11186,1708437720,123.680,86.590,123.869,86.699
11214,1708463040,126.119,86.540,126.319,86.610
11226,1708482480,125.819,86.550,126.08,86.620
11227,1708525740,124.05,86.510,124.25,86.62
11234,1708539600,121.339,86.51,121.630,86.58
11260,1708571040,118.619,86.5,118.9,86.569
11261,1708610700,117.449,86.490,117.65,86.54
11266,1708629960,122.26,86.4,122.419,86.48
11282,1708687800,116.139,86.459,116.36,86.569
11371,1709035200,113.209,86.43,113.110,86.309
11469,1709316180,87.029,86.66,86.62,86.55
11487,1709347080,87.01,86.62,86.59,86.52
11488,1709380980,87.01,86.62,86.61,86.52
11489,1709402220,87.02,86.62,86.59,86.51
11491,1709431200,87.01,86.62,86.58,86.52
11494,1709488860,86.96,86.58,86.54,86.46
11496,1709517600,86.91,86.54,86.48,86.449
11499,1709567820,86.980,86.580,86.559,86.49
11520,1709605440,86.459,86.550,86.569,86.930
11527,1709640480,86.980,86.58,86.559,86.49
11541,1709663640,87.02,86.62,86.599,86.510
11552,1709694180,87.02,86.62,86.59,86.51
11558,1709726400,87.02,86.61,86.59,86.5
11578,1709749020,86.05,86.639,86.610,86.55
11621,1709778600,87.059,86.669,86.61,86.559
11628,1709812980,87.059,86.66,86.639,86.55
11653,1709863500,87.05,86.669,86.61,86.569
11665,1709899680,87.05,86.639,86.61,86.54
